2024-11-05 11:14:49,635 - Signal1 ,Density: {'car': 12, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 3, 'bus': 0}, Density Score: 31.5,Green Time Set: 16 seconds
2024-11-05 11:15:10,393 - Signal2 ,Density: {'car': 21, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 42.0,Green Time Set: 21 seconds
2024-11-05 11:15:37,050 - Signal3 ,Density: {'car': 6, 'tri-wheeler': 0, 'two-wheeler': 1, 'truck': 0, 'bus': 0}, Density Score: 13.0,Green Time Set: 10 seconds
2024-11-05 11:15:51,914 - Signal4 ,Density: {'car': 25, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 50.0,Green Time Set: 25 seconds
2024-11-05 11:16:22,429 - Signal1 ,Density: {'car': 12, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 3, 'bus': 0}, Density Score: 31.5,Green Time Set: 16 seconds
2024-11-05 11:16:43,824 - Signal2 ,Density: {'car': 21, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 42.0,Green Time Set: 21 seconds
2024-11-05 11:17:10,015 - Signal3 ,Density: {'car': 6, 'tri-wheeler': 0, 'two-wheeler': 1, 'truck': 0, 'bus': 0}, Density Score: 13.0,Green Time Set: 10 seconds
2024-11-05 11:17:25,041 - Signal4 ,Density: {'car': 25, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 50.0,Green Time Set: 25 seconds
2024-11-05 11:17:55,430 - Signal1 ,Density: {'car': 12, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 3, 'bus': 0}, Density Score: 31.5,Green Time Set: 16 seconds
2024-11-05 11:18:16,588 - Signal2 ,Density: {'car': 21, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 42.0,Green Time Set: 21 seconds
2024-11-05 11:18:43,037 - Signal3 ,Density: {'car': 6, 'tri-wheeler': 0, 'two-wheeler': 1, 'truck': 0, 'bus': 0}, Density Score: 13.0,Green Time Set: 10 seconds
2024-11-05 11:18:57,870 - Signal4 ,Density: {'car': 25, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 50.0,Green Time Set: 25 seconds
2024-11-05 11:19:28,282 - Signal1 ,Density: {'car': 12, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 3, 'bus': 0}, Density Score: 31.5,Green Time Set: 16 seconds
2024-11-05 11:19:49,504 - Signal2 ,Density: {'car': 21, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 42.0,Green Time Set: 21 seconds
2024-11-05 11:20:15,891 - Signal3 ,Density: {'car': 6, 'tri-wheeler': 0, 'two-wheeler': 1, 'truck': 0, 'bus': 0}, Density Score: 13.0,Green Time Set: 10 seconds
2024-11-05 11:20:30,848 - Signal4 ,Density: {'car': 25, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 50.0,Green Time Set: 25 seconds
2024-11-05 11:21:01,544 - Signal1 ,Density: {'car': 12, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 3, 'bus': 0}, Density Score: 31.5,Green Time Set: 16 seconds
2024-11-05 11:21:22,378 - Signal2 ,Density: {'car': 21, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 42.0,Green Time Set: 21 seconds
2024-11-05 11:21:49,068 - Signal3 ,Density: {'car': 6, 'tri-wheeler': 0, 'two-wheeler': 1, 'truck': 0, 'bus': 0}, Density Score: 13.0,Green Time Set: 10 seconds
2024-11-05 11:22:04,071 - Signal4 ,Density: {'car': 25, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 50.0,Green Time Set: 25 seconds
2024-11-05 11:22:34,448 - Signal1 ,Density: {'car': 12, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 3, 'bus': 0}, Density Score: 31.5,Green Time Set: 16 seconds
2024-11-05 11:22:55,310 - Signal2 ,Density: {'car': 21, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 42.0,Green Time Set: 21 seconds
2024-11-05 11:23:22,012 - Signal3 ,Density: {'car': 6, 'tri-wheeler': 0, 'two-wheeler': 1, 'truck': 0, 'bus': 0}, Density Score: 13.0,Green Time Set: 10 seconds
2024-11-05 11:23:36,893 - Signal4 ,Density: {'car': 25, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 50.0,Green Time Set: 25 seconds
2024-11-05 11:24:07,372 - Signal1 ,Density: {'car': 12, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 3, 'bus': 0}, Density Score: 31.5,Green Time Set: 16 seconds
2024-11-05 11:24:28,432 - Signal2 ,Density: {'car': 21, 'tri-wheeler': 0, 'two-wheeler': 0, 'truck': 0, 'bus': 0}, Density Score: 42.0,Green Time Set: 21 seconds
