                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45478,                0.31624,                0.94427,                0.85037,                0.72901,                0.82512,                0.64021,                0.90199,                0.77012,                 1.2701,                0.00505,                0.00505,                0.00505
                     37,                0.45666,                0.31018,                0.93562,                0.85967,                0.74815,                0.82966,                0.64543,                0.88341,                0.76963,                 1.2429,              0.0049086,              0.0049086,              0.0049086
                     38,                0.44889,                0.30031,                 0.9339,                0.88962,                0.70116,                0.82401,                0.64074,                0.89173,                0.78911,                 1.2439,              0.0047671,              0.0047671,              0.0047671
                     39,                0.44201,                 0.2957,                 0.9263,                0.81262,                 0.7619,                0.82224,                0.64695,                0.87169,                0.79301,                 1.2305,              0.0046257,              0.0046257,              0.0046257
                     40,                0.43218,                0.29442,                 0.9233,                0.86025,                0.75214,                0.83175,                0.65479,                0.87393,                0.75332,                 1.2268,              0.0044843,              0.0044843,              0.0044843
                     41,                0.43713,                0.29893,                0.92207,                0.88133,                0.75855,                0.84606,                0.66549,                0.86543,                0.71778,                 1.2165,              0.0043429,              0.0043429,              0.0043429
                     42,                0.42572,                0.28999,                0.92199,                0.87204,                0.73251,                 0.8374,                0.65561,                0.87601,                0.72263,                  1.223,              0.0042014,              0.0042014,              0.0042014
                     43,                0.42835,                0.28516,                0.92699,                0.86993,                0.73089,                0.82871,                 0.6608,                0.87094,                0.74191,                 1.2306,                0.00406,                0.00406,                0.00406
                     44,                0.41568,                0.28097,                0.91717,                 0.8147,                0.78365,                0.83488,                0.65919,                0.85477,                0.74197,                 1.2154,              0.0039186,              0.0039186,              0.0039186
                     45,                0.41346,                0.26924,                0.91004,                0.87231,                0.75581,                0.84653,                0.68215,                0.84386,                0.69564,                 1.2016,              0.0037771,              0.0037771,              0.0037771
                     46,                0.40707,                0.26615,                 0.9066,                0.85762,                0.76865,                0.84034,                0.67596,                0.84682,                0.71578,                 1.2002,              0.0036357,              0.0036357,              0.0036357
                     47,                 0.4071,                0.26794,                 0.9068,                0.87731,                0.74984,                 0.8379,                0.67414,                0.84497,                0.70838,                 1.2025,              0.0034943,              0.0034943,              0.0034943
                     48,                0.40506,                0.26885,                0.90862,                0.85292,                0.77174,                0.83446,                0.66399,                0.85425,                0.72591,                 1.2176,              0.0033529,              0.0033529,              0.0033529
                     49,                0.38828,                0.26329,                0.90109,                0.88038,                0.75832,                0.84619,                0.68214,                0.83725,                 0.7058,                 1.2017,              0.0032114,              0.0032114,              0.0032114
                     50,                0.39531,                0.25554,                0.89758,                0.87911,                 0.7457,                0.83717,                 0.6664,                0.86064,                0.75781,                 1.2416,                0.00307,                0.00307,                0.00307
                     51,                0.38689,                 0.2517,                0.89895,                0.86488,                0.76296,                0.82379,                0.66021,                0.84517,                0.74248,                 1.2206,              0.0029286,              0.0029286,              0.0029286
                     52,                0.38793,                0.24914,                 0.8989,                0.87491,                0.74661,                0.83469,                0.67055,                0.83174,                0.74289,                 1.2077,              0.0027871,              0.0027871,              0.0027871
